site name,site id,ccamlr region,Longitude EPSG:4326,Latitude EPSG:4326,common name,day,month,year,season starting,count,accuracy,count type,vantage,reference,notes
d'Urville Monument,DURV,48.1,-56.2944,-63.4267,adelie penguin,1,1,2017,2016,18415,2,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
d'Urville Monument,DURV,48.1,-56.2944,-63.4267,gentoo penguin,12,12,2016,2016,962,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Earle Island,EARL,48.1,-54.7833,-63.4833,adelie penguin,9,1,2001,2000,23649,5,nests,landsat,"<strong>Lynch, H. J. and M. R. Schwaller, </strong><i> 2014</i>. Mapping the abundance and distribution of Ad&#233;lie penguins using Landsat-7: First steps towards an integrated multi-sensor pipeline for tracking populations at the continental scale. PLoS ONE 9:e113301.",None
Earle Island,EARL,48.1,-54.7833,-63.4833,adelie penguin,14,12,2015,2015,21071,2,nests,uav,"<strong>Borowicz, A., P. McDowall, C. Youngflesh, T. Sayre-McCord, G. Clucas, R. Herman, S. Forrest, M. Rider, M. Schwaller, T. Hart, S. Jenouvrier, M. Polito, H. Singh, and H. J. Lynch, </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.",None
Earle Island,EARL,48.1,-54.7833,-63.4833,gentoo penguin,14,12,2015,2015,847,1,nests,ground,"<strong>Borowicz, A., P. McDowall, C. Youngflesh, T. Sayre-McCord, G. Clucas, R. Herman, S. Forrest, M. Rider, M. Schwaller, T. Hart, S. Jenouvrier, M. Polito, H. Singh, and H. J. Lynch, </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.",None
Elephant Point,ELPT,48.1,-60.8573,-62.6924,gentoo penguin,4,1,1958,1957,400,4,nests,ground,"<strong>Croxall, J. P. and E. D. Kirkwood, </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey, Cambridge, United Kingdom.",None
Elephant Point,ELPT,48.1,-60.8573,-62.6924,chinstrap penguin,9,2,1987,1986,1500,3,adults,ground,"<strong>Shuford, W. D. and B. Spear, </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island, Antarctica. British Antarctic Survey Bulletin 81:19-30.",None
Ferrier Peninsula,FERR,48.2,-44.425,-60.715,gentoo penguin,Unknown,Unknown,1947,1947,None,None,nests,ground,"<strong>Poncet, S. and J. Poncet, </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.",Recorded as present but no count.
Ferrier Peninsula,FERR,48.2,-44.425,-60.715,adelie penguin,Unknown,Unknown,1983,1983,61000,5,nests,ground,"<strong>Coria, N. R., D. Montalti, E. F. Rombol&#225;, M. M. Santos, M. I. Garcia Beto&#241;o, and M. A. Ju&#225;res,</strong><i> 2011</i>. Birds at Laurie Island, South Orkney Islands, Antarctica: Breeding species and their distribution. Marine Ornithology 39:207-213.",None
Ferrier Peninsula,FERR,48.2,-44.425,-60.715,chinstrap penguin,28,12,1983,1983,14200,5,nests,ground,"<strong>Poncet, S. and J. Poncet, </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.",None
Ferrier Peninsula,FERR,48.2,-44.425,-60.715,adelie penguin,Unknown,Unknown,1993,1993,38130,3,nests,ground,"<strong>Coria, N. R., D. Montalti, E. F. Rombol&#225;, M. M. Santos, M. I. Garcia Beto&#241;o, and M. A. Ju&#225;res,</strong><i> 2011</i>. Birds at Laurie Island, South Orkney Islands, Antarctica: Breeding species and their distribution. Marine Ornithology 39:207-213.",None
Ferrier Peninsula,FERR,48.2,-44.425,-60.715,adelie penguin,Unknown,Unknown,2004,2004,35858,3,nests,ground,"<strong>Coria, N. R., D. Montalti, E. F. Rombol&#225;, M. M. Santos, M. I. Garcia Beto&#241;o, and M. A. Ju&#225;res,</strong><i> 2011</i>. Birds at Laurie Island, South Orkney Islands, Antarctica: Breeding species and their distribution. Marine Ornithology 39:207-213.",None
Fort Point (Greenwich Island),FORT,48.1,-59.58,-62.542,chinstrap penguin,10,2,1987,1986,3500,4,adults,ground,"<strong>Shuford, W. D. and B. Spear, </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island, Antarctica. British Antarctic Survey Bulletin 81:19-30.",None
Fort Point (Greenwich Island),FORT,48.1,-59.58,-62.542,chinstrap penguin,Unknown,Unknown,1987,1987,1200,4,nests,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Fort Point (Greenwich Island),FORT,48.1,-59.58,-62.542,chinstrap penguin,13,12,1999,1999,853,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Fort Point (Greenwich Island),FORT,48.1,-59.58,-62.542,gentoo penguin,13,12,1999,1999,282,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Fort Point (Greenwich Island),FORT,48.1,-59.58,-62.542,chinstrap penguin,14,12,2011,2011,983,3,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Fort Point (Greenwich Island),FORT,48.1,-59.58,-62.542,gentoo penguin,14,12,2011,2011,720,2,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Fort Point (Greenwich Island),FORT,48.1,-59.58,-62.542,chinstrap penguin,25,12,2014,2014,1054,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Fort Point (Greenwich Island),FORT,48.1,-59.58,-62.542,gentoo penguin,25,12,2014,2014,837,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Fort Point (Greenwich Island),FORT,48.1,-59.58,-62.542,chinstrap penguin,30,12,2016,2016,1451,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Fort Point (Greenwich Island),FORT,48.1,-59.58,-62.542,gentoo penguin,30,12,2016,2016,654,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Fort Point (Greenwich Island),FORT,48.1,-59.58,-62.542,chinstrap penguin,2,1,2018,2017,995,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Fort Point (Greenwich Island),FORT,48.1,-59.58,-62.542,chinstrap penguin,8,1,2018,2017,1243,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Fort Point (Greenwich Island),FORT,48.1,-59.58,-62.542,gentoo penguin,2,1,2018,2017,1006,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Fort Point (Greenwich Island),FORT,48.1,-59.58,-62.542,gentoo penguin,8,1,2018,2017,837,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Fort Point (Greenwich Island),FORT,48.1,-59.58,-62.542,chinstrap penguin,2,1,2019,2018,1269,1,chicks,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Fort Point (Greenwich Island),FORT,48.1,-59.58,-62.542,gentoo penguin,2,1,2019,2018,1333,1,chicks,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Galindez Island East,GALE,48.1,-64.2399,-65.2476,gentoo penguin,6,12,2008,2008,93,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Galindez Island East,GALE,48.1,-64.2399,-65.2476,gentoo penguin,6,1,2013,2012,273,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Galindez Island East,GALE,48.1,-64.2399,-65.2476,gentoo penguin,16,12,2012,2012,369,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",Count provided by Vernadsky Station personnel.
Galindez Island East,GALE,48.1,-64.2399,-65.2476,gentoo penguin,Unknown,Unknown,2013,2013,588,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",Count provided by Vernadsky Station personnel.
Galindez Island East,GALE,48.1,-64.2399,-65.2476,gentoo penguin,13,1,2015,2014,391,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Galindez Island South,GALS,48.1,-64.246,-65.252,gentoo penguin,6,1,2013,2012,49,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Galindez Island South,GALS,48.1,-64.246,-65.252,gentoo penguin,16,12,2012,2012,48,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",Count provided by Vernadsky Station personnel.
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,17,1,1984,1983,300,4,nests,ground,"<strong>Poncet, S. and J. Poncet, </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,26,1,1987,1986,800,4,nests,ground,"<strong>Poncet, S. and J. Poncet, </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,Unknown,Unknown,1988,1988,600,3,nests,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,Unknown,Unknown,1988,1988,1100,1,nests,ground,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,Unknown,Unknown,1992,1992,447,1,nests,ground,"<strong>Aguirre, C. A., </strong><i> 1995</i>. Distribution and abundance of birds at Potter Peninsula, 25 de Mayo (King George) Island, South Shetland Islands, Antarctica. Marine Ornithology 23:23-31. ",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,7,1,1993,1992,1631,1,nests,ground,"<strong>Aguirre, C. A., </strong><i> 1995</i>. Distribution and abundance of birds at Potter Peninsula, 25 de Mayo (King George) Island, South Shetland Islands, Antarctica. Marine Ornithology 23:23-31. ",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,Unknown,Unknown,1994,1994,414,2,nests,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,Unknown,Unknown,1994,1994,1752,2,nests,ground,"<strong>Woehler, E. J. and J. P. Croxall, </strong><i> 1997</i>. The status and trends of Antarctic and sub-Antarctic seabirds. Marine Ornithology 25:43-66.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,4,12,1996,1996,383,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,4,12,1997,1997,397,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,27,11,1998,1998,327,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,12,1,2001,2000,356,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,20,12,2004,2004,269,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,20,12,2004,2004,1995,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,5,2,2006,2005,399,1,chicks,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,26,12,2005,2005,246,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,26,12,2005,2005,2464,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,26,1,2007,2006,354,1,chicks,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,14,2,2007,2006,335,1,chicks,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,22,11,2006,2006,260,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,6,1,2008,2007,213,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,10,2,2008,2007,338,1,chicks,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,6,1,2008,2007,1200,5,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,18,1,2009,2008,225,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,12,2,2009,2008,210,1,chicks,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,22,12,2008,2008,256,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,18,1,2009,2008,1973,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,12,2,2009,2008,2104,1,chicks,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,22,12,2008,2008,2196,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,3,1,2010,2009,232,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,3,1,2010,2009,2555,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,15,12,2010,2010,139,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,15,12,2010,2010,1158,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,13,12,2011,2011,193,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,13,12,2011,2011,2408,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,5,1,2013,2012,208,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,12,1,2013,2012,215,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,5,1,2013,2012,2948,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,12,1,2013,2012,3296,1,nests,ground,"<strong>Lynch, H. J., R. Naveen, and P. Casanovas, </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data, 1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,14,12,2013,2013,229,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,14,12,2013,2013,2824,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,2,1,2015,2014,205,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,26,1,2015,2014,332,1,chicks,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,24,12,2014,2014,232,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,2,1,2015,2014,3443,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,24,12,2014,2014,3187,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,15,1,2016,2015,187,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,17,11,2015,2015,207,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,15,1,2016,2015,3354,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,11,1,2017,2016,161,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,11,12,2016,2016,189,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,11,1,2017,2016,3187,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,11,12,2016,2016,3949,2,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,15,2,2018,2017,207,1,chicks,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,15,2,2018,2017,3472,1,chicks,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,chinstrap penguin,13,1,2019,2018,143,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Georges Point (Ronge Island),GEOR,48.1,-62.6696,-64.6694,gentoo penguin,13,1,2019,2018,2301,1,nests,ground,"<strong>Lynch, H. J., </strong><i> ????a</i>. Antarctic Site Inventory. dataset.",None
Gerlache Island,GERL,48.1,-64.214,-64.601,gentoo penguin,3,2,1979,1978,2000,5,adults,ground,"<strong>Parmalee, D. F. and C. C. Rimmer, </strong><i> 1987</i>. Revised penguin numbers and distributions for Anvers Island, Antarctica. British Antarctic Survey Bulletin 76:65-73.",None
Gerlache Island,GERL,48.1,-64.214,-64.601,adelie penguin,2,1,1985,1984,171,1,nests,ground,"<strong>Parmalee, D. F. and C. C. Rimmer, </strong><i> 1987</i>. Revised penguin numbers and distributions for Anvers Island, Antarctica. British Antarctic Survey Bulletin 76:65-73.",None
Gerlache Island,GERL,48.1,-64.214,-64.601,chinstrap penguin,2,1,1985,1984,1000,5,nests,ground,"<strong>Poncet, S. and J. Poncet, </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129.",None
Gerlache Island,GERL,48.1,-64.214,-64.601,gentoo penguin,2,1,1985,1984,1023,1,nests,ground,"<strong>Parmalee, D. F. and C. C. Rimmer, </strong><i> 1987</i>. Revised penguin numbers and distributions for Anvers Island, Antarctica. British Antarctic Survey Bulletin 76:65-73.",None
